input_tokens,output_tokens,reasoning_tokens,cached_tokens,total_time,prefill_latency,token_latencies
539,1,0,0,1.4237267971038818,1.377492904663086,[1.377492904663086]
539,1,0,0,0.4498109817504883,0.44945645332336426,[0.44945645332336426]
539,1,0,0,0.5670545101165771,0.5578508377075195,[0.5578508377075195]
539,1,0,0,0.48679351806640625,0.4802236557006836,[0.4802236557006836]
539,1,0,0,0.5357165336608887,0.5275263786315918,[0.5275263786315918]
539,1,0,0,0.6309506893157959,0.6306157112121582,[0.6306157112121582]
539,1,0,0,0.41814517974853516,0.41440320014953613,[0.41440320014953613]
539,1,0,0,0.395432710647583,0.3911101818084717,[0.3911101818084717]
539,1,0,0,0.4156367778778076,0.4143970012664795,[0.4143970012664795]
539,1,0,0,0.37062978744506836,0.36710214614868164,[0.36710214614868164]
539,1,0,0,0.45525193214416504,0.45089030265808105,[0.45089030265808105]
539,1,0,0,0.6287603378295898,0.6276211738586426,[0.6276211738586426]
539,1,0,0,0.38085412979125977,0.37985801696777344,[0.37985801696777344]
539,1,0,0,0.43738269805908203,0.4300422668457031,[0.4300422668457031]
539,1,0,0,0.6903390884399414,0.6880984306335449,[0.6880984306335449]
539,1,0,0,0.801769495010376,0.7819619178771973,[0.7819619178771973]
539,1,0,0,0.4202566146850586,0.41971445083618164,[0.41971445083618164]
539,1,0,0,0.44164037704467773,0.4364500045776367,[0.4364500045776367]
539,1,0,0,0.5802702903747559,0.5799715518951416,[0.5799715518951416]
539,1,0,0,0.7163000106811523,0.7157952785491943,[0.7157952785491943]
539,1,0,0,0.40688133239746094,0.4046056270599365,[0.4046056270599365]
539,1,0,0,0.4554271697998047,0.4469170570373535,[0.4469170570373535]
539,1,0,0,0.4149312973022461,0.40630125999450684,[0.40630125999450684]
539,1,0,0,0.7180683612823486,0.7160906791687012,[0.7160906791687012]
539,1,0,0,0.3923368453979492,0.3882443904876709,[0.3882443904876709]
539,1,0,0,0.42511820793151855,0.4150688648223877,[0.4150688648223877]
539,1,0,0,0.37427401542663574,0.3732414245605469,[0.3732414245605469]
539,1,0,0,0.4237685203552246,0.42322731018066406,[0.42322731018066406]
539,1,0,0,2.063377857208252,2.06306529045105,[2.06306529045105]
539,1,0,0,0.6665060520172119,0.6629800796508789,[0.6629800796508789]
539,1,0,0,0.6165335178375244,0.6079051494598389,[0.6079051494598389]
539,1,0,0,1.3252336978912354,1.3248364925384521,[1.3248364925384521]
539,1,0,0,0.5655593872070312,0.5631546974182129,[0.5631546974182129]
539,1,0,0,0.45761895179748535,0.45723819732666016,[0.45723819732666016]
539,1,0,0,0.48949551582336426,0.48750734329223633,[0.48750734329223633]
539,1,0,0,0.6752316951751709,0.6717739105224609,[0.6717739105224609]
539,1,0,0,0.4712352752685547,0.4709138870239258,[0.4709138870239258]
539,1,0,0,0.6503391265869141,0.6467952728271484,[0.6467952728271484]
539,1,0,0,0.46397852897644043,0.463625431060791,[0.463625431060791]
539,1,0,0,0.42130160331726074,0.4207131862640381,[0.4207131862640381]
539,1,0,0,0.5092787742614746,0.5089278221130371,[0.5089278221130371]
539,1,0,0,0.4909803867340088,0.4864237308502197,[0.4864237308502197]
539,1,0,0,0.40418434143066406,0.4038372039794922,[0.4038372039794922]
539,1,0,0,0.38878607749938965,0.38612890243530273,[0.38612890243530273]
539,1,0,0,0.4166898727416992,0.41334962844848633,[0.41334962844848633]
539,1,0,0,0.561255693435669,0.5567233562469482,[0.5567233562469482]
539,1,0,0,0.4418470859527588,0.4384419918060303,[0.4384419918060303]
539,1,0,0,0.6914379596710205,0.6902496814727783,[0.6902496814727783]
539,1,0,0,0.43283867835998535,0.4305126667022705,[0.4305126667022705]
539,1,0,0,0.524177074432373,0.5200815200805664,[0.5200815200805664]
1045,1,0,0,0.6594421863555908,0.6591334342956543,[0.6591334342956543]
1045,1,0,0,0.6908659934997559,0.682018518447876,[0.682018518447876]
1045,1,0,0,0.5131456851959229,0.5079221725463867,[0.5079221725463867]
1045,1,0,0,0.5636277198791504,0.5544264316558838,[0.5544264316558838]
1045,1,0,0,0.6649575233459473,0.6613423824310303,[0.6613423824310303]
1045,1,0,0,0.6480727195739746,0.6477541923522949,[0.6477541923522949]
1045,1,0,0,0.45467686653137207,0.45429229736328125,[0.45429229736328125]
1045,1,0,0,0.4457738399505615,0.4421651363372803,[0.4421651363372803]
1045,1,0,0,0.35370635986328125,0.3516731262207031,[0.3516731262207031]
1045,1,0,0,0.6244018077850342,0.6219336986541748,[0.6219336986541748]
1045,1,0,0,0.3936936855316162,0.38800883293151855,[0.38800883293151855]
1045,1,0,0,0.5615065097808838,0.5536899566650391,[0.5536899566650391]
1045,1,0,0,0.5109944343566895,0.5106363296508789,[0.5106363296508789]
1045,1,0,0,1.127150058746338,1.1268377304077148,[1.1268377304077148]
1045,1,0,0,0.4807016849517822,0.4757716655731201,[0.4757716655731201]
