model_name,run_timestamp,quant_test_loss,quant_baseline_loss,ols_test_loss,ols_baseline_loss,quant_r_squared,quant_nobs,quant_coef_const,quant_pval_const,quant_se_const,quant_coef_in_k,quant_pval_in_k,quant_se_in_k,quant_coef_out_k,quant_pval_out_k,quant_se_out_k,quant_coef_in_out_k,quant_pval_in_out_k,quant_se_in_out_k,ols_r_squared,ols_nobs,ols_coef_const,ols_pval_const,ols_se_const,ols_coef_in_k,ols_pval_in_k,ols_se_in_k,ols_coef_out_k,ols_pval_out_k,ols_se_out_k,ols_coef_in_out_k,ols_pval_in_out_k,ols_se_in_out_k
gpt-4o-2024-05-13,2025-07-10T10:47:53,0.576635197376322,1.9349205100307252,26.571567736227177,224.59694597588808,0.7017822725038991,2575124.0,0.1364892459663487,0.0,0.0031454237663684,0.0080198491398922,0.0,4.22885000537707e-05,8.350708559182241,0.0,0.0016965922782978,0.0200596459974364,0.0,2.1522915566178257e-05,0.8818952551243133,2575124.0,0.6685954319260905,0.0,0.0093659949897813,0.0233766066143038,0.0,0.0001235267119672,9.970836757091169,0.0,0.0051516234785894,0.0273400668186272,0.0,6.431395887513914e-05
gpt-4-0613,2025-07-10T10:49:35,0.9110449299714952,3.671085003437383,46.306641351220016,1143.837779541665,0.7515058239348111,775761.0,0.2742851940528226,2.3084240657238998e-232,0.0084244764839714,-0.0830230598964476,1.7806175385106692e-99,0.003921042489641,22.08668852351491,0.0,0.0049487957034635,1.5998459400080949,0.0,0.0020052674536102,0.9595617195484084,775761.0,1.3663639259650917,0.0,0.0198838798969687,-0.2781635042948224,1.5731538078384565e-188,0.0094956120232992,27.087754196376313,0.0,0.012682134220687,1.9064961108286311,0.0,0.0051194459145057
gpt-3.5-turbo-0125,2025-07-10T10:50:52,0.24005158929803938,0.9244840893144274,6.899134033219563,62.033595775609115,0.7397826822648947,955240.0,0.08791547281194667,0.0,0.0012139755864241449,0.025147386860023158,0.0,0.0002278274155883884,6.68763445188659,0.0,0.0007970308090882701,0.051281945331120404,0.0,0.00015778074378755157,0.8875633045303795,955240.0,0.5422475492109923,0.0,0.006323275690444266,0.005315772375164591,2.270728276971912e-06,0.0011243808483185084,7.9563901126730165,0.0,0.00449555813879103,0.1175731373669153,0.0,0.0007977364651848342
